txn_id,customer_id,date,type,amount
1,12,2026-07-06,WITHDRAW,16161.85
2,15,2026-04-07,DEPOSIT,19465.0
3,3,2026-06-08,WITHDRAW,16605.15
4,12,2026-01-12,DEPOSIT,14120.98
5,8,2026-08-07,WITHDRAW,19705.91
6,8,2026-04-27,DEPOSIT,7664.51
7,12,2026-02-23,DEPOSIT,7466.6
8,9,2026-02-13,DEPOSIT,12221.71
9,18,2026-04-08,DEPOSIT,3351.71
10,9,2026-08-04,DEPOSIT,13723.82
11,2,2026-07-26,DEPOSIT,16453.87
12,11,2026-02-24,WITHDRAW,5428.04
13,19,2026-05-08,WITHDRAW,4331.27
14,13,2026-02-05,WITHDRAW,2943.14
15,8,2026-04-20,WITHDRAW,14965.57
16,19,2026-02-05,WITHDRAW,7303.73
17,17,2026-01-13,WITHDRAW,1909.1
18,4,2026-07-22,DEPOSIT,12586.18
19,14,2026-06-02,DEPOSIT,7756.87
20,15,2026-08-09,WITHDRAW,19424.46
21,1,2026-05-18,DEPOSIT,13666.04
22,9,2026-04-22,WITHDRAW,2319.89
23,6,2026-07-04,WITHDRAW,164.58
24,9,2026-01-28,DEPOSIT,10202.87
25,10,2026-07-15,DEPOSIT,3141.5
26,6,2026-05-06,DEPOSIT,12019.0
27,1,2026-08-13,DEPOSIT,18589.06
28,10,2026-08-13,DEPOSIT,1252.71
29,19,2026-05-05,DEPOSIT,1804.5
30,3,2026-05-02,DEPOSIT,2654.99
31,18,2026-08-12,DEPOSIT,5374.63
32,20,2026-08-26,WITHDRAW,19290.82
33,18,2026-04-13,DEPOSIT,14287.68
34,12,2026-04-26,WITHDRAW,18002.32
35,4,2026-03-28,DEPOSIT,4571.48
36,1,2026-01-02,DEPOSIT,11809.96
37,3,2026-08-20,DEPOSIT,4655.94
38,2,2026-03-02,WITHDRAW,1510.06
39,9,2026-02-03,WITHDRAW,4363.31
40,19,2026-05-02,WITHDRAW,4935.65
41,14,2026-06-18,DEPOSIT,1977.08
42,14,2026-04-30,WITHDRAW,8529.21
43,2,2026-07-06,DEPOSIT,1306.19
44,11,2026-02-18,DEPOSIT,5048.26
45,18,2026-02-16,WITHDRAW,2889.63
